photo_id,season,colors,material,year,country,festivities,theme,product_type,upload_date,year_month
224,Summer,Green,N/A,N/A,N/A,Carnival,N/A,consumer_goods,2016-05-11,2016-05-11
225,Summer,Brown,Ceramic,N/A,USA,N/A,Classic,consumer_goods,2016-06-01,2016-06-01
226,Summer,Others,N/A,N/A,UK,N/A,N/A,consumer_goods,2016-05-20,2016-05-20
227,Summer,Blue,N/A,N/A,USA,4th of July,N/A,consumer_goods,2017-04-09,2017-04-09
228,Summer,Others,Plastic,N/A,USA,N/A,N/A,consumer_goods,2016-06-10,2016-06-10
229,Summer,Others,Ceramic,N/A,N/A,N/A,Classic,consumer_goods,2016-04-29,2016-04-29
230,Summer,White,Rubber,N/A,N/A,N/A,Elegant,consumer_goods,2016-05-01,2016-05-01
231,Summer,Red,N/A,N/A,N/A,N/A,Classic,consumer_goods,2016-04-30,2016-04-30
232,Fall,Brown,Plastic,N/A,N/A,N/A,N/A,consumer_goods,2016-09-09,2016-09-09
233,Fall,Others,N/A,N/A,Asia,N/A,N/A,consumer_goods,2017-07-08,2017-07-08
234,Fall,White,N/A,N/A,N/A,Halloween,Minimalistic,consumer_goods,2016-08-11,2016-08-11
235,Fall,Orange,Ceramic,N/A,N/A,N/A,N/A,consumer_goods,2017-09-03,2017-09-03
236,Fall,Black,Ceramic,N/A,N/A,Halloween,Comfort,consumer_goods,2016-08-08,2016-08-08
237,Fall,Red,Plastic,N/A,N/A,N/A,Classic,consumer_goods,2017-09-07,2017-09-07
238,Winter,Black,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-10-22,2016-10-22
239,Winter,Others,N/A,N/A,UK,Christmas,N/A,consumer_goods,2016-10-21,2016-10-21
240,Winter,White,N/A,N/A,USA,N/A,N/A,consumer_goods,2016-12-12,2016-12-12
241,Winter,White,N/A,N/A,N/A,N/A,Minimalistic,consumer_goods,2016-10-05,2016-10-05
242,Winter,Black,N/A,N/A,USA,Christmas,N/A,consumer_goods,2016-12-25,2016-12-25
243,Winter,White,Plastic,N/A,N/A,N/A,Classic,consumer_goods,2016-10-26,2016-10-26
244,Winter,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-11-13,2016-11-13
245,Winter,White,N/A,N/A,N/A,N/A,Elegant,consumer_goods,2016-10-11,2016-10-11
246,Winter,Others,Plastic,N/A,N/A,N/A,Minimalistic,consumer_goods,2016-12-25,2016-12-25
247,Winter,Others,Ceramic,N/A,N/A,N/A,Minimalistic,consumer_goods,2016-12-03,2016-12-03
248,Winter,Green,N/A,N/A,N/A,N/A,Minimalistic,consumer_goods,2016-10-30,2016-10-30
249,Winter,Red,N/A,N/A,USA,N/A,Minimalistic,consumer_goods,2016-12-06,2016-12-06
250,Winter,Black,Plastic,N/A,N/A,N/A,N/A,consumer_goods,2016-11-17,2016-11-17
251,Winter,Others,N/A,N/A,Europe,N/A,N/A,consumer_goods,2016-12-22,2016-12-22
252,Others,Black,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-02-04,2016-02-04
253,Others,Black,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-04-19,2016-04-19
254,Others,Black,Rubber,N/A,N/A,N/A,Minimalistic,consumer_goods,2016-11-19,2016-11-19
255,Others,Black,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-09-26,2016-09-26
256,Others,Black,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-10-03,2016-10-03
257,Others,Black,Wooden,N/A,Europe,N/A,Minimalistic,consumer_goods,2016-08-21,2016-08-21
258,Others,Black,N/A,N/A,USA,N/A,N/A,consumer_goods,2016-01-11,2016-01-11
259,Others,Black,N/A,N/A,UK,N/A,Minimalistic,consumer_goods,2016-09-14,2016-09-14
260,Others,Black,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-07-20,2016-07-20
261,Others,Black,Ceramic,N/A,Asia,N/A,Classic,consumer_goods,2016-01-24,2016-01-24
262,Others,Black,N/A,N/A,Asia,N/A,Minimalistic,consumer_goods,2016-08-16,2016-08-16
263,Others,Black,N/A,N/A,Asia,N/A,Minimalistic,consumer_goods,2016-07-11,2016-07-11
264,Others,Black,N/A,N/A,Asia,N/A,N/A,consumer_goods,2016-10-22,2016-10-22
265,Others,Black,Plastic,N/A,Asia,N/A,Classic,consumer_goods,2016-11-15,2016-11-15
266,Others,Black,N/A,N/A,Asia,N/A,N/A,consumer_goods,2016-10-18,2016-10-18
267,Others,Black,N/A,N/A,Asia,N/A,Minimalistic,consumer_goods,2016-10-07,2016-10-07
268,Others,Black,Plastic,N/A,Asia,N/A,N/A,consumer_goods,2016-06-03,2016-06-03
269,Others,Black,N/A,N/A,N/A,N/A,Classic,consumer_goods,2016-01-05,2016-01-05
270,Others,Black,N/A,N/A,N/A,N/A,Minimalistic,consumer_goods,2016-01-06,2016-01-06
271,Others,Black,N/A,N/A,USA,N/A,N/A,consumer_goods,2016-11-26,2016-11-26
272,Others,Black,N/A,N/A,N/A,N/A,Comfort,consumer_goods,2016-09-19,2016-09-19
273,Others,Black,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-01-08,2016-01-08
274,Others,White,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-04-07,2016-04-07
275,Others,White,Ceramic,N/A,N/A,N/A,Classic,consumer_goods,2016-03-30,2016-03-30
276,Others,White,Ceramic,N/A,N/A,N/A,N/A,consumer_goods,2016-01-29,2016-01-29
277,Others,White,N/A,N/A,N/A,N/A,Minimalistic,consumer_goods,2016-11-08,2016-11-08
278,Others,White,Rubber,N/A,Asia,N/A,N/A,consumer_goods,2016-10-03,2016-10-03
279,Others,White,N/A,N/A,N/A,N/A,Classic,consumer_goods,2016-08-27,2016-08-27
280,Others,White,N/A,N/A,Europe,N/A,N/A,consumer_goods,2016-09-01,2016-09-01
281,Others,White,N/A,N/A,Europe,N/A,Minimalistic,consumer_goods,2016-03-07,2016-03-07
282,Others,White,Plastic,N/A,Europe,N/A,N/A,consumer_goods,2016-01-30,2016-01-30
283,Others,White,N/A,N/A,UK,N/A,N/A,consumer_goods,2016-07-11,2016-07-11
284,Others,White,Ceramic,N/A,N/A,N/A,Minimalistic,consumer_goods,2016-07-01,2016-07-01
285,Others,White,Plastic,N/A,N/A,N/A,N/A,consumer_goods,2016-08-01,2016-08-01
286,Others,White,N/A,N/A,Asia,N/A,N/A,consumer_goods,2016-03-28,2016-03-28
287,Others,White,N/A,N/A,N/A,N/A,Classic,consumer_goods,2016-09-21,2016-09-21
288,Others,White,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-10-08,2016-10-08
289,Others,White,N/A,N/A,UK,N/A,N/A,consumer_goods,2016-04-09,2016-04-09
290,Others,White,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-05-20,2016-05-20
291,Others,White,N/A,N/A,N/A,N/A,Minimalistic,consumer_goods,2016-07-12,2016-07-12
292,Others,Blue,Wooden,N/A,N/A,N/A,N/A,consumer_goods,2016-02-15,2016-02-15
293,Others,Blue,N/A,N/A,Asia,N/A,N/A,consumer_goods,2016-04-07,2016-04-07
294,Others,Others,Rubber,N/A,N/A,N/A,N/A,consumer_goods,2016-06-26,2016-06-26
295,Others,Green,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-04-26,2016-04-26
296,Others,Green,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-03-17,2016-03-17
297,Others,Green,N/A,N/A,Asia,N/A,N/A,consumer_goods,2016-11-20,2016-11-20
298,Others,Yellow,Rubber,N/A,N/A,N/A,N/A,consumer_goods,2016-11-10,2016-11-10
299,Others,Red,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-05-06,2016-05-06
300,Others,Red,N/A,N/A,Europe,N/A,N/A,consumer_goods,2016-08-09,2016-08-09
301,Others,Green,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-11-23,2016-11-23
302,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-07-09,2016-07-09
303,Others,Green,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-03-25,2016-03-25
304,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-07-16,2016-07-16
305,Others,Green,Plastic,N/A,N/A,N/A,N/A,consumer_goods,2016-01-18,2016-01-18
306,Others,Others,N/A,N/A,Europe,N/A,N/A,consumer_goods,2016-04-10,2016-04-10
307,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-06-01,2016-06-01
308,Others,Others,N/A,N/A,Europe,N/A,N/A,consumer_goods,2016-06-04,2016-06-04
309,Others,Red,N/A,N/A,N/A,N/A,Classic,consumer_goods,2016-05-30,2016-05-30
310,Others,Others,Plastic,N/A,N/A,N/A,N/A,consumer_goods,2016-07-15,2016-07-15
311,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-04-07,2016-04-07
312,Others,Others,N/A,N/A,N/A,N/A,Comfort,consumer_goods,2016-05-03,2016-05-03
313,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-03-12,2016-03-12
314,Others,Others,N/A,N/A,USA,N/A,N/A,consumer_goods,2016-05-17,2016-05-17
315,Others,Others,N/A,N/A,N/A,N/A,Classic,consumer_goods,2016-11-26,2016-11-26
316,Others,Red,Plastic,N/A,N/A,N/A,Elegant,consumer_goods,2016-02-22,2016-02-22
317,Others,Others,N/A,N/A,Europe,N/A,Elegant,consumer_goods,2016-01-28,2016-01-28
318,Others,Others,N/A,N/A,N/A,N/A,Elegant,consumer_goods,2016-02-12,2016-02-12
319,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-07-22,2016-07-22
320,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-08-15,2016-08-15
321,Others,Others,Ceramic,N/A,N/A,N/A,Classic,consumer_goods,2016-07-07,2016-07-07
322,Others,Brown,N/A,N/A,Asia,N/A,N/A,consumer_goods,2016-05-30,2016-05-30
323,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-02-23,2016-02-23
324,Others,Brown,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-11-07,2016-11-07
325,Others,Brown,N/A,N/A,Europe,N/A,N/A,consumer_goods,2016-11-25,2016-11-25
326,Others,Others,Ceramic,N/A,N/A,N/A,Comfort,consumer_goods,2016-11-17,2016-11-17
327,Others,Green,N/A,N/A,UK,N/A,N/A,consumer_goods,2016-05-05,2016-05-05
328,Others,Green,Wooden,N/A,N/A,N/A,Classic,consumer_goods,2016-03-14,2016-03-14
329,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-07-24,2016-07-24
330,Others,Purple,Plastic,N/A,N/A,N/A,N/A,consumer_goods,2016-03-23,2016-03-23
331,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-11-29,2016-11-29
332,Others,Purple,Plastic,N/A,N/A,N/A,N/A,consumer_goods,2016-11-03,2016-11-03
333,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-01-28,2016-01-28
334,Others,Others,Ceramic,N/A,USA,N/A,Classic,consumer_goods,2016-01-04,2016-01-04
335,Others,Purple,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-10-30,2016-10-30
336,Others,Purple,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-10-20,2016-10-20
337,Others,Others,Rubber,N/A,N/A,N/A,N/A,consumer_goods,2016-04-27,2016-04-27
338,Others,Others,N/A,N/A,Europe,N/A,N/A,consumer_goods,2016-03-14,2016-03-14
339,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-03-16,2016-03-16
340,Others,Red,N/A,N/A,N/A,Valentine's ,N/A,consumer_goods,2016-11-28,2016-11-28
341,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-05-09,2016-05-09
342,Others,Others,N/A,N/A,USA,N/A,N/A,consumer_goods,2016-05-15,2016-05-15
343,Others,Purple,Ceramic,N/A,N/A,N/A,N/A,consumer_goods,2016-04-19,2016-04-19
344,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-02-02,2016-02-02
345,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-07-27,2016-07-27
346,Others,Brown,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-09-29,2016-09-29
347,Others,Brown,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-07-29,2016-07-29
348,Others,Others,N/A,N/A,N/A,N/A,Comfort,consumer_goods,2016-02-21,2016-02-21
349,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-05-16,2016-05-16
350,Others,Others,N/A,N/A,Asia,N/A,N/A,consumer_goods,2016-05-14,2016-05-14
351,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-09-21,2016-09-21
352,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-08-27,2016-08-27
353,Others,Brown,Ceramic,N/A,N/A,N/A,N/A,consumer_goods,2016-09-11,2016-09-11
354,Others,Brown,Wooden,N/A,N/A,N/A,N/A,consumer_goods,2016-07-16,2016-07-16
355,Others,Others,N/A,N/A,Asia,N/A,Comfort,consumer_goods,2016-10-24,2016-10-24
356,Others,Others,N/A,N/A,N/A,N/A,Comfort,consumer_goods,2016-06-08,2016-06-08
357,Others,Others,Ceramic,N/A,N/A,N/A,N/A,consumer_goods,2016-11-15,2016-11-15
358,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-04-14,2016-04-14
359,Others,Others,N/A,N/A,Europe,N/A,N/A,consumer_goods,2016-07-29,2016-07-29
360,Others,Others,N/A,N/A,N/A,N/A,Minimalistic,consumer_goods,2016-06-02,2016-06-02
361,Others,Others,Rubber,N/A,N/A,N/A,N/A,consumer_goods,2016-08-02,2016-08-02
362,Others,Others,N/A,N/A,Asia,N/A,N/A,consumer_goods,2016-03-25,2016-03-25
363,Others,Others,N/A,N/A,USA,N/A,N/A,consumer_goods,2016-07-26,2016-07-26
364,Others,Purple,Plastic,N/A,N/A,N/A,N/A,consumer_goods,2016-02-12,2016-02-12
365,Others,Purple,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-05-24,2016-05-24
366,Others,Purple,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-10-05,2016-10-05
367,Others,Purple,N/A,N/A,UK,N/A,N/A,consumer_goods,2016-07-22,2016-07-22
368,Others,Others,Ceramic,N/A,Europe,N/A,N/A,consumer_goods,2016-09-24,2016-09-24
369,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-02-06,2016-02-06
370,Others,Others,N/A,N/A,Asia,N/A,Minimalistic,consumer_goods,2016-02-17,2016-02-17
371,Others,Others,N/A,N/A,N/A,Halloween,N/A,consumer_goods,2016-05-14,2016-05-14
372,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-08-11,2016-08-11
373,Others,Others,Plastic,N/A,N/A,N/A,N/A,consumer_goods,2016-01-18,2016-01-18
374,Others,Others,N/A,N/A,USA,N/A,N/A,consumer_goods,2016-07-11,2016-07-11
375,Others,Others,Rubber,N/A,Europe,N/A,Classic,consumer_goods,2016-07-10,2016-07-10
376,Others,Others,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-02-12,2016-02-12
377,Others,Others,Ceramic,N/A,N/A,N/A,N/A,consumer_goods,2016-06-13,2016-06-13
378,Others,Purple,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-07-27,2016-07-27
379,Others,Purple,Plastic,N/A,Asia,N/A,N/A,consumer_goods,2016-10-20,2016-10-20
380,Others,Purple,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-04-18,2016-04-18
381,Others,Others,Plastic,N/A,UK,N/A,N/A,consumer_goods,2016-06-14,2016-06-14
382,Others,Red,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-03-25,2016-03-25
383,Others,Others,Wooden,N/A,Asia,N/A,Minimalistic,consumer_goods,2016-03-05,2016-03-05
384,Others,Red,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-06-02,2016-06-02
385,Others,Red,Ceramic,N/A,USA,N/A,N/A,consumer_goods,2016-03-08,2016-03-08
