photo_id,season,colors,material,brand_year,country,festivities,theme,product_type,upload_date,year_month
37,Spring,Others,N/A,2015,Asia,N/A,Elegant,apparel,2016-02-22,2016-02-22
38,Spring,Others,N/A,N/A,USA,N/A,Classic,apparel,2017-01-19,2017-01-19
39,Spring,Others,Cotton,N/A,USA,N/A,Classic,apparel,2016-03-15,2016-03-15
40,Spring,Others,Cotton,2017,USA,N/A,Classic,apparel,2016-01-01,2016-01-01
41,Spring,Others,Cotton,2017,N/A,N/A,N/A,apparel,2016-01-03,2016-01-03
42,Spring,Others,Cotton,2017,N/A,N/A,N/A,apparel,2017-02-15,2017-02-15
43,Summer,Others,Cotton,2017,N/A,N/A,N/A,apparel,2017-06-02,2017-06-02
44,Summer,Others,Cotton,2017,N/A,N/A,N/A,apparel,2017-04-01,2017-04-01
45,Summer,Others,Cotton,2017,N/A,N/A,Minimalistic,apparel,2016-05-17,2016-05-17
46,Summer,Others,Cotton,2017,N/A,N/A,N/A,apparel,2016-06-16,2016-06-16
47,Summer,Others,Cotton,2017,Europe,N/A,N/A,apparel,2017-06-01,2017-06-01
48,Summer,Others,Cotton,2017,Europe,N/A,N/A,apparel,2017-04-19,2017-04-19
49,Summer,Others,Cotton,2017,Asia,N/A,N/A,apparel,2016-04-18,2016-04-18
50,Summer,Others,Cotton,2017,Europe,N/A,N/A,apparel,2016-06-10,2016-06-10
51,Summer,Others,Cotton,2017,Europe,N/A,Elegant,apparel,2017-06-23,2017-06-23
52,Summer,Others,Cotton,N/A,N/A,N/A,N/A,apparel,2017-04-05,2017-04-05
53,Summer,Others,Polyester,N/A,N/A,4th of July,N/A,apparel,2016-06-18,2016-06-18
54,Summer,Others,Polyester,N/A,N/A,N/A,N/A,apparel,2016-05-11,2016-05-11
55,Summer,Others,Polyester,N/A,Asia,N/A,N/A,apparel,2017-04-16,2017-04-16
56,Summer,Others,Polyester,N/A,N/A,N/A,N/A,apparel,2016-06-04,2016-06-04
57,Summer,Others,Polyester,N/A,Europe,N/A,Minimalistic,apparel,2016-04-11,2016-04-11
58,Summer,Pastel,Polyester,N/A,Europe,N/A,Minimalistic,apparel,2016-06-11,2016-06-11
59,Summer,Pastel,Nylon,2015,N/A,N/A,Minimalistic,apparel,2016-05-30,2016-05-30
60,Summer,Pastel,Polyester,2015,N/A,N/A,N/A,apparel,2017-05-08,2017-05-08
61,Summer,Pastel,Polyester,2015,N/A,N/A,N/A,apparel,2016-06-23,2016-06-23
62,Summer,Pastel,Polyester,2015,N/A,N/A,N/A,apparel,2017-06-17,2017-06-17
63,Summer,Pastel,Polyester,2015,UK,N/A,N/A,apparel,2016-04-04,2016-04-04
64,Summer,Pastel,Polyester,2015,Europe,N/A,N/A,apparel,2016-04-22,2016-04-22
65,Summer,Pastel,Polyester,2015,Asia,N/A,N/A,apparel,2016-04-27,2016-04-27
66,Summer,Pastel,Polyester,N/A,UK,N/A,N/A,apparel,2016-05-26,2016-05-26
67,Summer,Pastel,Polyester,N/A,USA,N/A,Comfort,apparel,2017-06-01,2017-06-01
68,Summer,Pastel,N/A,N/A,UK,N/A,N/A,apparel,2017-04-15,2017-04-15
69,Summer,Others,N/A,N/A,USA,Carnival,Comfort,apparel,2017-04-01,2017-04-01
70,Summer,Warm,N/A,N/A,USA,N/A,Comfort,apparel,2016-06-29,2016-06-29
71,Summer,Warm,N/A,N/A,USA,Carnival,Comfort,apparel,2017-05-13,2017-05-13
72,Summer,Warm,N/A,N/A,Europe,N/A,N/A,apparel,2016-04-22,2016-04-22
73,Summer,Warm,N/A,N/A,N/A,N/A,Elegant,apparel,2016-05-13,2016-05-13
74,Summer,Others,Denim,N/A,N/A,N/A,Elegant,apparel,2016-04-15,2016-04-15
75,Summer,Others,Denim,N/A,N/A,N/A,Minimalistic,apparel,2017-06-07,2017-06-07
76,Summer,Others,N/A,N/A,N/A,N/A,Minimalistic,apparel,2017-04-08,2017-04-08
77,Summer,Others,N/A,N/A,N/A,N/A,Minimalistic,apparel,2017-05-25,2017-05-25
78,Summer,Others,N/A,N/A,N/A,N/A,Classic,apparel,2016-05-19,2016-05-19
79,Summer,Neon,Cotton,N/A,N/A,N/A,Classic,apparel,2016-05-26,2016-05-26
80,Summer,Others,Cotton,N/A,Europe,N/A,N/A,apparel,2016-06-01,2016-06-01
81,Summer,Others,Cotton,N/A,Asia,N/A,N/A,apparel,2016-05-01,2016-05-01
82,Summer,Others,Cotton,N/A,N/A,N/A,Classic,apparel,2016-06-24,2016-06-24
83,Summer,Others,Nylon,N/A,UK,N/A,N/A,apparel,2017-06-12,2017-06-12
84,Summer,Others,Cotton,2017,N/A,N/A,N/A,apparel,2017-06-13,2017-06-13
85,Summer,Others,Cotton,2017,N/A,N/A,Comfort,apparel,2017-05-11,2017-05-11
86,Fall,Pastel,Cotton,2017,Europe,N/A,Comfort,apparel,2016-08-06,2016-08-06
87,Fall,Pastel,Cotton,2017,N/A,N/A,N/A,apparel,2016-07-03,2016-07-03
88,Fall,Pastel,Cotton,2017,N/A,N/A,N/A,apparel,2016-08-16,2016-08-16
89,Fall,Pastel,Cotton,N/A,Europe,N/A,Minimalistic,apparel,2016-07-14,2016-07-14
90,Fall,Others,Cotton,N/A,N/A,N/A,N/A,apparel,2017-09-14,2017-09-14
91,Fall,Others,Cotton,2016,N/A,N/A,N/A,apparel,2017-07-22,2017-07-22
92,Fall,Others,Cotton,2016,N/A,Halloween,Classic,apparel,2016-07-18,2016-07-18
93,Fall,Others,Cotton,2016,UK,N/A,Minimalistic,apparel,2017-07-11,2017-07-11
94,Fall,Others,Polyester,2016,N/A,N/A,N/A,apparel,2017-08-24,2017-08-24
95,Fall,Others,Polyester,2016,USA,N/A,N/A,apparel,2017-07-24,2017-07-24
96,Fall,Others,Polyester,2016,Europe,N/A,N/A,apparel,2016-08-24,2016-08-24
97,Fall,Others,Polyester,N/A,USA,Halloween,N/A,apparel,2017-09-05,2017-09-05
98,Fall,Others,Polyester,N/A,USA,N/A,Elegant,apparel,2017-07-27,2017-07-27
99,Fall,Others,Polyester,N/A,USA,N/A,Elegant,apparel,2016-07-02,2016-07-02
100,Fall,Others,Polyester,2015,USA,N/A,Classic,apparel,2017-09-22,2017-09-22
101,Fall,Others,Polyester,N/A,USA,N/A,Classic,apparel,2016-09-17,2016-09-17
102,Fall,Others,Denim,2015,Asia,N/A,Minimalistic,apparel,2016-08-14,2016-08-14
103,Fall,Others,N/A,2015,Europe,N/A,Minimalistic,apparel,2016-07-25,2016-07-25
104,Fall,Others,N/A,N/A,N/A,N/A,Comfort,apparel,2016-07-20,2016-07-20
105,Fall,Others,N/A,N/A,N/A,N/A,Comfort,apparel,2016-07-03,2016-07-03
106,Fall,Others,N/A,N/A,N/A,N/A,N/A,apparel,2017-09-22,2017-09-22
107,Fall,Black & White,N/A,N/A,UK,N/A,N/A,apparel,2017-07-20,2017-07-20
108,Fall,Black & White,N/A,2017,Europe,N/A,N/A,apparel,2017-07-12,2017-07-12
109,Fall,Black & White,N/A,2015,N/A,N/A,N/A,apparel,2016-09-14,2016-09-14
110,Winter,Black & White,N/A,2017,N/A,N/A,Comfort,apparel,2016-11-16,2016-11-16
111,Winter,Black & White,Polyester,2017,N/A,N/A,Comfort,apparel,2016-11-17,2016-11-17
112,Winter,Black & White,Polyester,N/A,N/A,N/A,N/A,apparel,2016-12-20,2016-12-20
113,Winter,Cool,Polyester,N/A,Europe,Christmas,N/A,apparel,2016-10-10,2016-10-10
114,Winter,Cool,Polyester,2015,UK,Christmas,N/A,apparel,2016-11-05,2016-11-05
115,Winter,Cool,Polyester,N/A,UK,N/A,N/A,apparel,2016-11-10,2016-11-10
116,Winter,Cool,Polyester,N/A,UK,N/A,Classic,apparel,2016-10-09,2016-10-09
117,Winter,Cool,N/A,N/A,UK,N/A,Classic,apparel,2016-10-06,2016-10-06
118,Winter,Cool,N/A,2015,UK,Christmas,N/A,apparel,2016-10-23,2016-10-23
119,Winter,Others,Denim,2016,N/A,N/A,N/A,apparel,2016-11-27,2016-11-27
120,Winter,Others,N/A,2016,N/A,N/A,N/A,apparel,2016-10-05,2016-10-05
121,Winter,Others,N/A,2015,N/A,N/A,N/A,apparel,2016-10-01,2016-10-01
122,Winter,Others,Cotton,2016,Europe,N/A,Classic,apparel,2016-10-22,2016-10-22
123,Winter,Neon,Cotton,2016,N/A,N/A,Classic,apparel,2016-11-15,2016-11-15
124,Winter,Others,Cotton,2016,N/A,N/A,Comfort,apparel,2016-11-01,2016-11-01
125,Winter,Others,Cotton,2016,N/A,N/A,Elegant,apparel,2016-10-27,2016-10-27
126,Winter,Others,Cotton,N/A,USA,N/A,N/A,apparel,2016-11-19,2016-11-19
127,Winter,Others,Cotton,N/A,Europe,N/A,Comfort,apparel,2016-10-30,2016-10-30
128,Spring/Summer,Neutral,Cotton,N/A,USA,N/A,N/A,apparel,2016-07-25,2016-07-25
129,Spring/Summer,Neutral,Cotton,2017,USA,N/A,N/A,apparel,2017-07-08,2017-07-08
130,Spring/Summer,Others,Cotton,2017,N/A,N/A,Minimalistic,apparel,2016-04-29,2016-04-29
131,Spring/Summer,Warm,N/A,N/A,N/A,N/A,Minimalistic,apparel,2017-04-15,2017-04-15
132,Spring/Summer,Warm,N/A,N/A,Europe,N/A,N/A,apparel,2017-04-12,2017-04-12
133,Spring/Summer,Others,N/A,N/A,N/A,N/A,N/A,apparel,2016-07-20,2016-07-20
134,Spring/Summer,Others,N/A,N/A,USA,N/A,N/A,apparel,2016-04-07,2016-04-07
135,Fall/Winter,Neutral,N/A,2017,N/A,N/A,Elegant,apparel,2016-09-04,2016-09-04
136,Fall/Winter,Cool,Cotton,N/A,USA,Halloween,Elegant,apparel,2016-09-28,2016-09-28
137,Fall/Winter,Cool,Cotton,2015,N/A,Christmas,N/A,apparel,2016-11-24,2016-11-24
138,Fall/Winter,Others,N/A,N/A,N/A,N/A,N/A,apparel,2016-11-16,2016-11-16
139,Fall/Winter,Others,N/A,2016,N/A,N/A,Comfort,apparel,2016-11-21,2016-11-21
140,Others,Black & White,N/A,2016,N/A,N/A,N/A,apparel,2016-04-05,2016-04-05
141,Others,Black & White,N/A,2016,N/A,N/A,Classic,apparel,2016-04-06,2016-04-06
142,Others,Black & White,N/A,2015,Europe,N/A,Classic,apparel,2016-02-01,2016-02-01
143,Others,Black & White,N/A,2016,USA,N/A,N/A,apparel,2016-10-16,2016-10-16
144,Others,Black & White,N/A,2016,Asia,N/A,N/A,apparel,2016-03-18,2016-03-18
145,Others,Black & White,N/A,2016,N/A,N/A,Classic,apparel,2016-11-07,2016-11-07
146,Others,Black & White,N/A,N/A,Asia,N/A,Classic,apparel,2016-04-17,2016-04-17
147,Others,Black & White,N/A,N/A,N/A,N/A,Comfort,apparel,2016-02-02,2016-02-02
148,Others,Black & White,N/A,2015,N/A,N/A,Classic,apparel,2016-03-13,2016-03-13
149,Others,Black & White,N/A,N/A,N/A,N/A,Classic,apparel,2016-06-08,2016-06-08
150,Others,Black & White,N/A,N/A,USA,N/A,N/A,apparel,2016-09-14,2016-09-14
151,Others,Black & White,Polyester,N/A,N/A,N/A,N/A,apparel,2016-03-23,2016-03-23
152,Others,Black & White,Polyester,N/A,Europe,N/A,N/A,apparel,2016-06-06,2016-06-06
153,Others,Neutral,Polyester,N/A,N/A,N/A,N/A,apparel,2016-03-07,2016-03-07
154,Others,Neon,Nylon,2015,N/A,N/A,Minimalistic,apparel,2016-04-04,2016-04-04
155,Others,Neon,Nylon,N/A,N/A,N/A,Minimalistic,apparel,2016-05-15,2016-05-15
156,Others,Neon,Polyester,N/A,N/A,N/A,Minimalistic,apparel,2016-06-16,2016-06-16
157,Others,Others,Polyester,N/A,N/A,N/A,Minimalistic,apparel,2016-06-08,2016-06-08
158,Others,Others,Polyester,N/A,USA,N/A,Elegant,apparel,2016-07-13,2016-07-13
159,Others,Others,Polyester,N/A,Europe,N/A,Comfort,apparel,2016-04-18,2016-04-18
160,Others,Others,Polyester,N/A,N/A,N/A,Comfort,apparel,2016-05-04,2016-05-04
161,Others,Others,Polyester,N/A,N/A,N/A,N/A,apparel,2016-10-27,2016-10-27
162,Others,Cool,N/A,N/A,N/A,N/A,Comfort,apparel,2016-01-03,2016-01-03
163,Others,Cool,N/A,2015,Europe,N/A,N/A,apparel,2016-11-19,2016-11-19
164,Others,Cool,N/A,N/A,N/A,N/A,N/A,apparel,2016-07-25,2016-07-25
165,Others,Cool,N/A,N/A,N/A,N/A,Classic,apparel,2016-04-17,2016-04-17
166,Others,Cool,N/A,N/A,N/A,N/A,N/A,apparel,2016-09-23,2016-09-23
167,Others,Cool,Denim,N/A,Europe,N/A,N/A,apparel,2016-09-23,2016-09-23
168,Others,Others,N/A,N/A,Asia,N/A,Classic,apparel,2016-06-04,2016-06-04
169,Others,Pastel,N/A,2015,N/A,N/A,N/A,apparel,2016-09-12,2016-09-12
170,Others,Pastel,N/A,N/A,Europe,N/A,Minimalistic,apparel,2016-01-22,2016-01-22
171,Others,Pastel,N/A,N/A,Asia,N/A,Minimalistic,apparel,2016-08-14,2016-08-14
172,Others,Pastel,N/A,N/A,USA,N/A,Minimalistic,apparel,2016-05-16,2016-05-16
173,Others,Pastel,Cotton,N/A,N/A,N/A,Minimalistic,apparel,2016-04-21,2016-04-21
174,Others,Pastel,Cotton,N/A,Europe,N/A,Elegant,apparel,2016-10-20,2016-10-20
175,Others,Pastel,Cotton,N/A,N/A,Christmas,Elegant,apparel,2016-06-12,2016-06-12
176,Others,Pastel,Cotton,N/A,N/A,N/A,Elegant,apparel,2016-05-18,2016-05-18
177,Others,Others,Cotton,N/A,N/A,N/A,N/A,apparel,2016-01-30,2016-01-30
178,Others,Others,Cotton,N/A,Europe,N/A,Comfort,apparel,2016-10-20,2016-10-20
179,Others,Others,Cotton,N/A,USA,N/A,N/A,apparel,2016-01-10,2016-01-10
180,Others,Others,Cotton,N/A,USA,N/A,N/A,apparel,2016-08-09,2016-08-09
181,Others,Others,Cotton,N/A,N/A,N/A,N/A,apparel,2016-09-15,2016-09-15
182,Others,Others,Cotton,N/A,Asia,N/A,Comfort,apparel,2016-03-23,2016-03-23
183,Others,Warm,Cotton,N/A,N/A,N/A,N/A,apparel,2016-03-08,2016-03-08
184,Others,Warm,Cotton,N/A,N/A,N/A,N/A,apparel,2016-01-26,2016-01-26
185,Others,Warm,Cotton,2015,N/A,N/A,N/A,apparel,2016-10-13,2016-10-13
186,Others,Warm,Cotton,2015,Europe,N/A,N/A,apparel,2016-10-09,2016-10-09
187,Others,Others,Cotton,2017,USA,N/A,Comfort,apparel,2016-08-24,2016-08-24
188,Others,Others,Cotton,2017,N/A,N/A,Elegant,apparel,2016-05-01,2016-05-01
189,Others,Others,Cotton,2017,N/A,N/A,Elegant,apparel,2016-05-11,2016-05-11
190,Others,Others,Cotton,2017,N/A,N/A,N/A,apparel,2016-06-20,2016-06-20
191,Others,Others,Cotton,2017,UK,Christmas,N/A,apparel,2016-01-13,2016-01-13
192,Others,Others,Cotton,2017,Asia,N/A,Classic,apparel,2016-03-04,2016-03-04
193,Others,Others,Cotton,2017,N/A,N/A,N/A,apparel,2016-03-04,2016-03-04
194,Others,Others,Cotton,2017,USA,N/A,N/A,apparel,2016-07-16,2016-07-16
195,Others,Others,Cotton,2017,Europe,N/A,N/A,apparel,2016-05-18,2016-05-18
196,Others,Others,Cotton,2017,N/A,N/A,Classic,apparel,2016-09-24,2016-09-24
197,Others,Others,N/A,2017,USA,N/A,N/A,apparel,2016-07-24,2016-07-24
198,Others,Others,N/A,2017,USA,N/A,N/A,apparel,2016-03-29,2016-03-29
199,Others,Others,Denim,2017,USA,N/A,N/A,apparel,2016-08-21,2016-08-21
200,Others,Others,N/A,2017,Europe,N/A,Comfort,apparel,2016-03-26,2016-03-26
